,,Pais,Liga,Jogador,Time,Temporada,ass,gols,rank,Ano_inicio
167,,Northern Ireland,Premier_league,Jonny Evans,West Bromwich Albion,2016-2017,1,2,,2016
168,,Brazil,Premier_league,Fernandinho,Manchester City,2016-2017,1,2,,2016
169,,Croatia,Premier_league,Dejan Lovren,Liverpool FC,2016-2017,1,2,,2016
170,,England,Premier_league,Calum Chambers,Middlesbrough FCArsenal FC,2016-2017,1,2,,2016
171,,Nigeria,Premier_league,Wilfred Ndidi,Leicester City,2016-2017,1,2,,2016
172,,Scotland,Premier_league,Andrew Robertson,Hull City,2016-2017,2,1,,2016
173,,Iceland,Premier_league,Jóhann Guðmundsson,Burnley FC,2016-2017,2,1,,2016
174,,England,Premier_league,Jesse Lingard,Manchester United,2016-2017,2,1,,2016
175,,Scotland,Premier_league,Shaun Maloney,Hull City,2016-2017,2,1,,2016
176,,England,Premier_league,Dean Marney,Burnley FC,2016-2017,2,1,,2016
177,,Belgium,Premier_league,Mousa Dembélé,Tottenham Hotspur,2016-2017,2,1,,2016
178,,England,Premier_league,Tom Carroll,Tottenham HotspurSwansea City,2016-2017,2,1,,2016
179,,Netherlands,Premier_league,Daley Blind,Manchester United,2016-2017,2,1,,2016
180,,Ireland,Premier_league,Robbie Brady,Burnley FC,2016-2017,2,1,,2016
181,,Uruguay,Premier_league,Miguel Britos,Watford FC,2016-2017,2,1,,2016
182,,Ireland,Premier_league,James McClean,West Bromwich Albion,2016-2017,2,1,,2016
183,,Senegal,Premier_league,Mame Diouf,Stoke City,2016-2017,2,1,,2016
184,,Denmark,Premier_league,Viktor Fischer,Middlesbrough FC,2016-2017,3,0,,2016
185,,Northern Ireland,Premier_league,Steven Davis,Southampton FC,2016-2017,3,0,,2016
186,,Portugal,Premier_league,Cédric Soares,Southampton FC,2016-2017,3,0,,2016
187,,Poland,Premier_league,Kamil Grosicki,Hull City,2016-2017,3,0,,2016
188,,Morocco,Premier_league,Nordin Amrabat,Watford FC,2016-2017,3,0,,2016
189,,Netherlands,Premier_league,Luciano Narsingh,Swansea City,2016-2017,3,0,,2016
190,,Brazil,Premier_league,Lucas Leiva,Liverpool FC,2016-2017,3,0,,2016
191,,Belgium,Premier_league,Adnan Januzaj,Sunderland AFC,2016-2017,3,0,,2016
192,,England,Premier_league,Dan Gosling,AFC Bournemouth,2016-2017,0,2,193.,2016
193,,France,Premier_league,Younès Kaboul,Sunderland AFCWatford FC,2016-2017,0,2,,2016
194,,England,Premier_league,Eric Dier,Tottenham Hotspur,2016-2017,0,2,,2016
195,,Belgium,Premier_league,Christian Kabasele,Watford FC,2016-2017,0,2,,2016
196,,Italy,Premier_league,Fabio Borini,Sunderland AFC,2016-2017,0,2,,2016
197,,France,Premier_league,Laurent Koscielny,Arsenal FC,2016-2017,0,2,,2016
198,,Ivory Coast,Premier_league,Wilfried Bony,Stoke City,2016-2017,0,2,,2016
199,,Wales,Premier_league,James Collins,West Ham United,2016-2017,0,2,,2016
200,,England,Premier_league,Steve Cook,AFC Bournemouth,2016-2017,0,2,,2016
201,,Norway,Premier_league,Adama Diomandé,Hull City,2016-2017,0,2,,2016
202,,Serbia,Premier_league,Luka Milivojević,Crystal Palace,2016-2017,0,2,,2016
203,,Nigeria,Premier_league,Ahmed Musa,Leicester City,2016-2017,0,2,,2016
204,,Sweden,Premier_league,Martin Olsson,Swansea City,2016-2017,0,2,,2016
205,,Serbia,Premier_league,Lazar Marković,Hull City,2016-2017,0,2,,2016
206,,England,Premier_league,Connor Wickham,Crystal Palace,2016-2017,0,2,,2016
207,,Netherlands,Premier_league,Jordy Clasie,Southampton FC,2016-2017,1,1,,2016
208,,England,Premier_league,Ryan Shawcross,Stoke City,2016-2017,1,1,,2016
209,,Nigeria,Premier_league,Isaac Success,Watford FC,2016-2017,1,1,,2016
210,,England,Premier_league,Danny Drinkwater,Leicester City,2016-2017,1,1,,2016
211,,Nigeria,Premier_league,Odion Ighalo,Watford FC,2016-2017,1,1,,2016
212,,Ghana,Premier_league,Daniel Amartey,Leicester City,2016-2017,1,1,,2016
213,,Argentina,Premier_league,Pablo Zabaleta,Manchester City,2016-2017,1,1,,2016
214,,Austria,Premier_league,Sebastian Prödl,Watford FC,2016-2017,1,1,,2016
215,,Spain,Premier_league,Pedro Obiang,West Ham United,2016-2017,1,1,,2016
216,,Argentina,Premier_league,Nicolás Otamendi,Manchester City,2016-2017,1,1,,2016
217,,England,Premier_league,Harry Winks,Tottenham Hotspur,2016-2017,1,1,,2016
218,,Ireland,Premier_league,Stephen Ward,Burnley FC,2016-2017,1,1,,2016
219,,Ireland,Premier_league,James McCarthy,Everton FC,2016-2017,1,1,,2016
220,,England,Premier_league,Chris Smalling,Manchester United,2016-2017,1,1,,2016
221,,England,Premier_league,Jake Livermore,West Bromwich AlbionHull City,2016-2017,1,1,,2016
222,,France,Premier_league,N'Golo Kanté,Chelsea FC,2016-2017,1,1,,2016
223,,Serbia,Premier_league,Aleksandar Kolarov,Manchester City,2016-2017,1,1,,2016
224,,Senegal,Premier_league,Idrissa Gueye,Everton FC,2016-2017,1,1,,2016
225,,Argentina,Premier_league,Érik Lamela,Tottenham Hotspur,2016-2017,1,1,,2016
226,,England,Premier_league,Ben Gibson,Middlesbrough FC,2016-2017,1,1,,2016
227,,Gambia,Premier_league,Modou Barrow,Swansea City,2016-2017,2,0,,2016
228,,England,Premier_league,Lewis Cook,AFC Bournemouth,2016-2017,2,0,,2016
229,,England,Premier_league,Nathaniel Clyne,Liverpool FC,2016-2017,2,0,,2016
230,,England,Premier_league,Curtis Davies,Hull City,2016-2017,2,0,,2016
231,,England,Premier_league,Adam Clayton,Middlesbrough FC,2016-2017,2,0,,2016
232,,England,Premier_league,Tom Cleverley,Everton FCWatford FC,2016-2017,2,0,,2016
233,,Ireland,Premier_league,Damien Delaney,Crystal Palace,2016-2017,2,0,,2016
234,,England,Premier_league,Aaron Cresswell,West Ham United,2016-2017,2,0,,2016
235,,England,Premier_league,Matthew Lowton,Burnley FC,2016-2017,2,0,,2016
236,,England,Premier_league,Duncan Watmore,Sunderland AFC,2016-2017,2,0,,2016
237,,Spain,Premier_league,Nacho Monreal,Arsenal FC,2016-2017,2,0,,2016
238,,Cameroon,Premier_league,Allan Nyom,Watford FCWest Bromwich Albion,2016-2017,2,0,,2016
